frame,motionClock,direction,pose,phase
0,0.000000000,SW,0,0.000000000
1,0.019999992,SW,0,0.020124600
2,0.046238689,SW,0,0.046526780
3,0.070509693,SW,0,0.070949010
4,0.095585693,SW,0,0.096181250
5,0.121395791,SW,0,0.122152200
6,0.146098491,SW,0,0.147008800
7,0.170182094,SW,1,0.171242400
8,0.194603091,SW,1,0.195815600
9,0.218725292,SW,1,0.220088100
10,0.243055692,SW,1,0.244570100
11,0.268875392,SW,1,0.270550600
12,0.295497296,SW,1,0.297338400
13,0.320536794,SW,1,0.322533900
14,0.345217697,SW,2,0.347368600
15,0.370122792,SW,2,0.372428900
16,0.395910399,SW,2,0.398377200
17,0.420764793,SW,2,0.423386400
18,0.446063099,SW,2,0.448842300
19,0.470609294,SW,2,0.473541500
20,0.495401394,SW,2,0.498488000
21,0.519249998,SW,3,0.522485300
22,0.543426294,SW,3,0.546812200
23,0.567892600,SW,3,0.571430900
24,0.591463398,SW,3,0.595148600
25,0.615582395,SW,3,0.619417800
26,0.639647793,SW,3,0.643633200
27,0.665806297,SW,4,0.669954700
28,0.691106899,SW,4,0.695412900
29,0.718162298,SW,4,0.722636900
30,0.743140196,SW,4,0.747770400
31,0.768247899,SW,4,0.773034600
32,0.793012595,SW,4,0.797953500
33,0.818636596,SW,4,0.823737200
34,0.844334392,SW,5,0.849595100
35,0.870459696,SW,5,0.875883200
36,0.894979693,SW,5,0.900556000
37,0.919615896,SW,5,0.925345700
38,0.943422098,SW,5,0.949300200
39,0.967536192,SW,5,0.973564500
40,0.991725095,SW,5,0.997904100
41,1.016228298,SW,0,0.022560000
42,1.040847395,SW,0,0.047332530
43,1.065246891,SW,0,0.071884040
44,1.089235192,SW,0,0.096021770
45,1.113414394,SW,0,0.120351700
46,1.137391796,SW,0,0.144478400
47,1.162222693,SW,1,0.169464000
48,1.186428297,SW,1,0.193820500
49,1.210649095,SW,1,0.218192200
50,1.235052893,SW,1,0.242748000
51,1.259221792,SW,1,0.267067600
52,1.284566194,SW,1,0.292569900
53,1.309486495,SW,1,0.317645400
54,1.336126497,SW,2,0.344451400
55,1.362219794,SW,2,0.370707300
56,1.386235695,SW,2,0.394872800
57,1.410440797,SW,2,0.419228700
58,1.434945893,SW,2,0.443886500
59,1.459486892,SW,2,0.468580400
60,1.484126497,SW,2,0.493373500
61,1.508060291,SW,3,0.517456400
62,1.532151597,SW,3,0.541697900
63,1.557440393,SW,3,0.567144200
64,1.581565591,SW,3,0.591419700
65,1.606322393,SW,3,0.616330700
66,1.631171195,SW,3,0.641334400
67,1.655658191,SW,3,0.665973900
68,1.680746393,SW,4,0.691218500
69,1.705676092,SW,4,0.716303500
70,1.731467191,SW,4,0.742255300
71,1.755208390,SW,4,0.766144400
72,1.779676190,SW,4,0.790764700
73,1.804073589,SW,4,0.815314100
74,1.829104293,SW,5,0.840500700
75,1.854794187,SW,5,0.866350700
76,1.880984386,SW,5,0.892704000
77,1.906781092,SW,5,0.918661500
78,1.932137193,SW,5,0.944175600
79,1.957007091,SW,5,0.969200500
80,1.981702989,SW,5,0.994050100
81,2.006369393,SW,0,0.018870350
82,2.030697787,SW,0,0.043350220
83,2.055495087,SW,0,0.068302150
84,2.082676692,SW,0,0.095653060
85,2.108634287,SW,0,0.121772300
86,2.133802287,SW,0,0.147097100
87,2.158704393,SW,1,0.172154400
88,2.185807291,SW,1,0.199426200
89,2.210614292,SW,1,0.224387600
90,2.236525694,SW,1,0.250460600
91,2.261996491,SW,1,0.276090100
92,2.289168388,SW,1,0.303431300
93,2.316576891,SW,1,0.331010600
94,2.344199190,SW,2,0.358804900
95,2.369596994,SW,2,0.384361000
96,2.395116692,SW,2,0.410039700
97,2.421945689,SW,2,0.437035800
98,2.449932190,SW,2,0.465196800
99,2.475183586,SW,2,0.490605600
100,2.503121886,SW,3,0.518717800
101,2.529030390,SW,3,0.544787900
102,2.556673389,SW,3,0.572603000
103,2.583347786,SW,3,0.599443700
104,2.610081786,SW,3,0.626344200
105,2.635745088,SW,3,0.652167300
106,2.662147390,SW,4,0.678734300
107,2.691165190,SW,4,0.707932700
108,2.717071086,SW,4,0.734000200
109,2.745587392,SW,4,0.762694100
110,2.771325594,SW,4,0.788592600
111,2.798595987,SW,4,0.816032900
112,2.823932488,SW,5,0.841527200
113,2.849719789,SW,5,0.867475300
114,2.875988588,SW,5,0.893907800
115,2.904523486,SW,5,0.922620500
116,2.931924790,SW,5,0.950192500
117,2.959415089,SW,5,0.977854000
118,2.987543186,SW,0,0.006157398
119,3.012947090,NW,0,0.031719680
120,3.041941790,NW,0,0.060894970
121,3.067697387,NW,0,0.086811070
122,3.095506486,NW,0,0.114793300
123,3.121705387,NW,0,0.141155500
124,3.151732186,NW,1,0.171369300
125,3.177056186,NW,1,0.196851300
126,3.207157582,NW,1,0.227140200
127,3.232576786,NW,1,0.252717700
128,3.259865284,NW,1,0.280176200
129,3.286009686,NW,1,0.306483500
130,3.311940284,NW,1,0.332575800
131,3.340211982,NW,2,0.361023400
132,3.367589185,NW,2,0.388571300
133,3.393166481,NW,2,0.414308100
134,3.420537187,NW,2,0.441849200
135,3.449610982,NW,2,0.471104100
136,3.476268381,NW,2,0.497927700
137,3.501718983,NW,3,0.523536900
138,3.527904684,NW,3,0.549885700
139,3.553413684,NW,3,0.575553700
140,3.580294983,NW,3,0.602602500
141,3.606343489,NW,3,0.628813300
142,3.632316286,NW,3,0.654947800
143,3.658821685,NW,4,0.681618500
144,3.685977183,NW,4,0.708943100
145,3.711066986,NW,4,0.734189300
146,3.739488287,NW,4,0.762787600
147,3.765025787,NW,4,0.788484100
148,3.791354883,NW,4,0.814977400
149,3.819834886,NW,5,0.843634800
150,3.848100383,NW,5,0.872076300
151,3.874623384,NW,5,0.898764600
152,3.902574582,NW,5,0.926889900
153,3.928034985,NW,5,0.952508900
154,3.953350589,NW,5,0.977982300
155,3.982089683,NW,0,0.006900311
156,4.007417383,NW,0,0.032385830
157,4.035646783,NW,0,0.060791490
158,4.061239485,NW,0,0.086543560
159,4.086759284,NW,0,0.112222200
160,4.116448987,NW,0,0.142097000
161,4.143088989,NW,1,0.168902900
162,4.170730883,NW,1,0.196717300
163,4.195868490,NW,1,0.222011100
164,4.222254587,NW,1,0.248561900
165,4.247481288,NW,1,0.273945800
166,4.273447892,NW,1,0.300074100
167,4.298927788,NW,1,0.325712700
168,4.324827589,NW,2,0.351773700
169,4.350226285,NW,2,0.377330800
170,4.377607288,NW,2,0.404882400
171,4.405361086,NW,2,0.432809400
172,4.430642691,NW,2,0.458248100
173,4.455939388,NW,2,0.483702700
174,4.485857990,NW,3,0.513807800
175,4.510889091,NW,3,0.538994800
176,4.538554985,NW,3,0.566833000
177,4.566560391,NW,3,0.595012700
178,4.593458988,NW,3,0.622078900
179,4.618807988,NW,3,0.647585900
180,4.643901886,NW,4,0.672836300
181,4.671617787,NW,4,0.700724600
182,4.699123187,NW,4,0.728401700
183,4.726160787,NW,4,0.755607600
184,4.753246084,NW,4,0.782861700
185,4.780406784,NW,4,0.810191600
186,4.806636184,NW,5,0.836584600
187,4.832915790,NW,5,0.863027600
188,4.860770084,NW,5,0.891055600
189,4.892714988,NW,5,0.923199700
190,4.921041986,NW,5,0.951703100
191,4.946795685,NW,5,0.977617300
192,4.971302388,NW,0,0.002276421
193,4.998546585,NW,0,0.029690740
194,5.028238783,NW,0,0.059567930
195,5.054485084,NW,0,0.085977550
196,5.080948789,NW,0,0.112606000
197,5.109044084,NW,0,0.140876800
198,5.137604082,NW,1,0.169614300
199,5.164158886,NW,1,0.196334800
200,5.189341383,NW,1,0.221674000
201,5.214434382,NW,1,0.246923400
202,5.241664087,NW,1,0.274323000
203,5.268420584,NW,1,0.301246200
204,5.294974085,NW,1,0.327964800
205,5.321035083,NW,2,0.354188400
206,5.346406385,NW,2,0.379717800
207,5.373578586,NW,2,0.407059200
208,5.402330881,NW,2,0.435990800
209,5.428589582,NW,2,0.462412800
210,5.454626381,NW,2,0.488612200
211,5.480818983,NW,3,0.514967900
212,5.508881284,NW,3,0.543204800
213,5.536738086,NW,3,0.571235200
214,5.565400183,NW,3,0.600076200
215,5.593508482,NW,3,0.628359300
216,5.619459588,NW,3,0.654472400
217,5.648497684,NW,4,0.683691000
218,5.674808385,NW,4,0.710166000
219,5.700466087,NW,4,0.735983400
220,5.726397486,NW,4,0.762076400
221,5.753417186,NW,4,0.789264700
222,5.780658789,NW,4,0.816675700
223,5.805824287,NW,5,0.841998100
224,5.831947587,NW,5,0.868284200
225,5.856775288,NW,5,0.893266700
226,5.901017386,NW,5,0.937784200
227,5.926908189,NW,5,0.963836700
228,5.953722291,NW,5,0.990817500
229,5.998303888,NW,0,0.035676960
230,6.026118791,NE,0,0.063665390
231,6.054004690,NE,0,0.091724870
232,6.096022293,NE,0,0.134004100
233,6.121765392,NE,0,0.159907800
234,6.165994793,NE,1,0.204412500
235,6.196001597,NE,1,0.234606300
236,6.224859094,NE,1,0.263643700
237,6.252505196,NE,1,0.291461900
238,6.297884895,NE,2,0.337124300
239,6.324641293,NE,2,0.364047500
240,6.356299391,NE,2,0.395903100
241,6.384423591,NE,2,0.424202400
242,6.428810397,NE,2,0.468865900
243,6.455510894,NE,2,0.495732800
244,6.498248592,NE,3,0.538736800
245,6.524515493,NE,3,0.565167400
246,6.551691294,NE,3,0.592512100
247,6.594782691,NE,3,0.635872400
248,6.626633696,NE,4,0.667921500
249,6.654445792,NE,4,0.695907100
250,6.698563196,NE,4,0.740299200
251,6.727859993,NE,4,0.769778700
252,6.754059192,NE,4,0.796141100
253,6.799985090,NE,5,0.842353300
254,6.826092793,NE,5,0.868623700
255,6.853963995,NE,5,0.896668400
256,6.897119395,NE,5,0.940092600
257,6.922893893,NE,5,0.966027700
258,6.965691293,NE,0,0.009091854
259,6.992180889,NE,0,0.035746570
260,7.018638691,NE,0,0.062368870
261,7.060559090,NE,0,0.104550800
262,7.085980788,NE,0,0.130130800
263,7.127915489,NE,1,0.172326600
264,7.153662492,NE,1,0.198234100
265,7.196237789,NE,1,0.241074600
266,7.224194089,NE,1,0.269205100
267,7.252354492,NE,1,0.297541100
268,7.295419494,NE,2,0.340874200
269,7.320329890,NE,2,0.365940100
270,7.362688994,NE,2,0.408563100
271,7.387558693,NE,2,0.433587600
272,7.430436889,NE,2,0.476733200
273,7.455108091,NE,3,0.501557800
274,7.498351891,NE,3,0.545071100
275,7.523996688,NE,3,0.570875600
276,7.551155191,NE,3,0.598203700
277,7.593254689,NE,3,0.640565400
278,7.620024990,NE,4,0.667502400
279,7.665374486,NE,4,0.713134300
280,7.691288885,NE,4,0.739210100
281,7.717746289,NE,4,0.765832400
282,7.762222387,NE,4,0.810586000
283,7.788112884,NE,5,0.836637500
284,7.830748584,NE,5,0.879539000
285,7.855419885,NE,5,0.904364100
286,7.885089485,NE,5,0.934218400
287,7.926851084,NE,5,0.976240200
288,7.953283688,NE,0,0.002837181
289,7.994669084,NE,0,0.044480320
290,8.019925283,NE,0,0.069893840
291,8.061793985,NE,0,0.112024300
292,8.086564485,NE,0,0.136948600
293,8.132067185,NE,1,0.182734500
294,8.158697188,NE,1,0.209530800
295,8.200969283,NE,1,0.252066600
296,8.229762388,NE,1,0.281039200
297,8.255142590,NE,1,0.306576700
298,8.298075087,NE,2,0.349777200
299,8.323094688,NE,2,0.374952300
300,8.351883486,NE,2,0.403921100
301,8.393628787,NE,2,0.445926700
302,8.418967089,NE,2,0.471422200
303,8.461215189,NE,3,0.513934100
304,8.486741386,NE,3,0.539618500
305,8.528925089,NE,3,0.582065600
306,8.554463992,NE,3,0.607763300
307,8.599329688,NE,3,0.652908300
308,8.625035690,NE,4,0.678774800
309,8.667705687,NE,4,0.721711200
310,8.692508088,NE,4,0.746667900
311,8.719853688,NE,4,0.774183300
312,8.764684286,NE,4,0.819294000
313,8.789927589,NE,5,0.844694100
314,8.832768589,NE,5,0.887802100
