"direction","pose","frame","motionClock","phase"
"SW","0","41","1.016228298","0.02256"
"SW","1","48","1.186428297","0.1938205"
"SW","2","54","1.336126497","0.3444514"
"SW","3","61","1.508060291","0.5174564"
"SW","4","68","1.680746393","0.6912185"
"SW","5","75","1.854794187","0.8663507"
"NW","0","155","3.982089683","0.006900311"
"NW","1","161","4.143088989","0.1689029"
"NW","2","168","4.324827589","0.3517737"
"NW","3","174","4.48585799","0.5138078"
"NW","4","180","4.643901886","0.6728363"
"NW","5","186","4.806636184","0.8365846"
"NE","0","258","6.965691293","0.009091854"
"NE","1","263","7.127915489","0.1723266"
"NE","2","268","7.295419494","0.3408742"
"NE","3","273","7.455108091","0.5015578"
"NE","4","278","7.62002499","0.6675024"
"NE","5","283","7.788112884","0.8366375"
"SE","0","348","9.957327491","0.01936817"
"SE","1","353","10.121318089","0.1843805"
"SE","2","358","10.298341291","0.3625059"
"SE","3","363","10.461811792","0.5269957"
"SE","4","368","10.624840491","0.69104"
"SE","5","373","10.790275695","0.8575058"
