realSeconds,minute,phase,activity,assigned,remaining,personHours,energy,taskResult,position,cell,destination,pathLength,reservationBlocker,movementBlocker
21.2,16,Navigating,Walking,True,248,0,100,,(2.35: 6.07),(8:5),(9:10),9,,
26.2,36,Working,Work,True,236,0,98,,(0.00: 8.44),(9:9),,0,,
31.2,56,Working,Work,True,216,0,96,,(0.00: 8.44),(9:9),,0,,
36.2,76,Working,Work,True,196,0,93,,(0.00: 8.44),(9:9),,0,,
41.2,96,Working,Work,True,176,0,91,,(0.00: 8.44),(9:9),,0,,
46.2,116,Working,Work,True,156,0,88,,(0.00: 8.44),(9:9),,0,,
51.2,136,Working,Work,True,136,0,86,,(0.00: 8.44),(9:9),,0,,
56.2,156,Working,Work,True,116,0,84,,(0.00: 8.44),(9:9),,0,,
61.2,176,Working,Work,True,96,0,81,,(0.00: 8.44),(9:9),,0,,
66.2,196,Working,Work,True,76,0,79,,(0.00: 8.44),(9:9),,0,,
71.2,216,Working,Work,True,56,0,76,,(0.00: 8.44),(9:9),,0,,
76.2,236,Working,Work,True,36,0,74,,(0.00: 8.44),(9:9),,0,,
81.2,256,Working,Work,True,16,0,72,,(0.00: 8.44),(9:9),,0,,
