frame,seconds,clock,ready,cash,inventory,seats,pointerCommits,member,phase,away,x,y,destination,pathIndex,pathLength,seat,seatDirection,arrivalCount,workFrames,gaitDistance,displacement,staticViolations,interactionViolations,agentPenetrations,bodies,legacyCharacters,legacyFurniture,bgm,sfx,listenerVolume,outputPeak,errors
6,2.223075,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.224317,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.224406,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.224662,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.344132,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.344218,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.344291,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.344365,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.465282,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.465368,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.465438,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.465512,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
26,2.570635,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
26,2.570722,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
26,2.570792,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
26,2.570867,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
33,2.692807,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
33,2.692896,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
33,2.692966,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
33,2.693039,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
39,2.795643,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
39,2.795731,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
39,2.795802,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
39,2.795876,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
46,2.899380,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
46,2.899471,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
46,2.899587,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
