seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
70.470250,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
76.309750,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
76.310310,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.952448,1.857259
82.990230,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
82.990320,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.952448,1.857259
82.992100,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,
90.146960,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
90.147020,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.952448,1.857259
90.147050,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,
90.147060,seat_mother,SouthWest,0.000305,0.000305,0.000000,0.000000,none,none,,
91.262920,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
91.262980,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,8.635171,1.857259
91.263000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
91.263020,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
92.368870,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
92.368920,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,7.866764,1.857259
92.368940,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,6.167872,1.775838
92.368970,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
93.455630,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
93.455680,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,7.012780,1.857259
93.455710,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.835749,1.775838
93.455730,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
94.555160,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
94.555220,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,6.078825,1.857259
94.555250,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.602447,1.775838
94.555270,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,8.420377,1.775838
95.569790,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
95.569850,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,5.198945,1.857259
95.569880,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.619773,1.775838
95.569910,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,8.018168,1.775838
96.576260,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
96.576310,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,4.372902,1.857259
96.576340,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.633662,1.775838
96.576360,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
97.657490,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
97.657550,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.649139,1.857259
97.657580,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.616528,1.775838
97.657610,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
98.756880,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
98.756940,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.152559,1.857259
98.757000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.258274,1.775838
98.757040,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
99.852840,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
99.852910,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.152559,1.857259
99.852930,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.850976,1.775838
99.852950,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
100.961900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
100.961900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
100.962000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.605847,1.775838
100.962000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
101.976000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
101.976100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
101.976100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
101.976100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
103.059400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
103.060000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
103.060100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
103.060100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
104.175900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
104.175900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.981006,1.857259
104.176000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
