seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere,ready,shopOpen,egressBlocker,egressBlockedAttempts
1.990155,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.993570,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.993684,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.993775,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.113498,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.113628,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.113709,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.113781,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.234410,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.234524,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.234604,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.234675,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.340523,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.340641,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.340856,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.340953,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.440945,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.441039,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.441120,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.441198,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.541716,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.541856,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.541937,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.542007,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.645397,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.645502,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.645583,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.645694,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
