seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere
2.122317,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.126164,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.126298,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.126400,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.249717,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.249882,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.249978,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.250050,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.352009,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.352164,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.352277,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.352354,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.452447,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.452597,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.452678,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.452749,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.565727,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.565855,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.565943,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.566013,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.676081,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.676236,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True
2.676335,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True
