seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere,ready,shopOpen,egressBlocker,egressBlockedAttempts
1.956882,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.960312,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.960423,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.960508,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.080736,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.080852,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.080930,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.080999,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.200238,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.200368,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.200454,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.200524,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.305146,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.305271,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.305349,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.305417,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.426089,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.426212,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.426290,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.426360,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.528333,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.528450,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
