seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
69.632640,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
74.745610,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
74.745960,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.060665,1.857259
80.560130,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
80.560190,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.060665,1.857259
80.561870,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,
87.193660,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,
87.193700,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,8.060665,1.857259
87.193730,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,
87.193740,seat_mother,SouthWest,0.000305,0.000305,0.000000,0.000000,none,none,,
88.196560,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
88.196600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,7.754967,1.857259
88.196620,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
88.196640,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
89.198700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
89.198750,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,7.069288,1.857259
89.198780,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,6.663912,1.775838
89.198800,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
90.299830,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
90.299870,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,6.249476,1.857259
90.299890,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,6.133488,1.775838
90.299910,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
91.315460,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
91.315500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,5.316316,1.857259
91.315520,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.866594,1.775838
91.315540,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,8.260610,1.775838
92.345660,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
92.345710,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,4.495957,1.857259
92.345740,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.724842,1.775838
92.345760,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,7.889691,1.775838
93.346920,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
93.346950,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.717145,1.857259
93.346980,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,5.460652,1.775838
93.347000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
94.404880,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
94.404930,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.076107,1.857259
94.404950,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.534048,1.775838
94.404980,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
95.427130,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
95.427170,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.367012,1.857259
95.427190,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.684977,1.775838
95.427220,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
96.520100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
96.520140,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.608232,1.857259
96.520160,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,3.040893,1.775838
96.520190,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
97.567930,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
97.567980,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.206960,1.857259
97.568000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,2.469253,1.775838
97.568020,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
98.574390,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
98.574430,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.235516,1.857259
98.574460,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
98.574470,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
99.591380,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
99.591420,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.248469,1.857259
99.591440,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
99.591450,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
100.674600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
100.674700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.113914,1.857259
100.674700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
100.674700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
101.731500,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
101.731600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.289393,1.857259
101.731600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
101.731600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
102.819900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
102.819900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.095212,1.857259
102.820000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
102.820000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,7.073233,1.775838
103.933300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
103.933300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,3.336618,1.857259
103.933400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
103.933400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,6.055114,1.775838
104.956300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
104.956300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
104.956400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.915521,1.775838
104.956400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,5.080185,1.775838
105.969000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
105.969100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
105.969100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.765233,1.775838
105.969100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.489992,1.775838
107.084100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
107.084100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
107.084100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,1.894455,1.775838
107.084100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,4.051536,1.775838
108.182000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
108.182100,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
108.182100,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,2.144288,1.775838
108.182100,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Navigating,3.329236,1.775838
109.282900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
109.283000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
109.283000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
109.283000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
110.388100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
