frame,seconds,clock,ready,cash,inventory,seats,pointerCommits,member,phase,away,x,y,destination,pathIndex,pathLength,seat,seatDirection,arrivalCount,workFrames,gaitDistance,displacement,staticViolations,interactionViolations,agentPenetrations,bodies,legacyCharacters,legacyFurniture,bgm,sfx,listenerVolume,outputPeak,errors
6,1.959254,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,1.960405,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,1.960493,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,1.960667,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.080831,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.080916,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.080986,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
13,2.081059,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.200338,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.200438,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.200511,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
20,2.200585,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
