seconds,gameTime,member,x,y,gaitDistance,phase,destination,direction,reservationBlocker,movementBlocker
0.0000,08:50,father,-7.0882,4.9003,0.0256,Navigating,(4:5),5,,
0.0000,08:50,mother,2.6438,7.0997,0.0256,Navigating,(8:11),1,,
0.0000,08:50,older_sister,5.3104,6.6552,0.0256,Navigating,(4:9),1,,
0.0000,08:50,player,0.0229,2.2337,0.0256,Navigating,(8:4),5,,
0.5424,08:50,father,-6.5946,5.1472,0.5775,Navigating,(4:5),5,,
0.5424,08:50,mother,2.1501,6.8528,0.5775,Navigating,(8:11),1,,
0.5424,08:50,older_sister,4.8168,6.4084,0.5775,Navigating,(4:9),1,,
0.5424,08:50,player,0.5165,2.4805,0.5775,Navigating,(8:4),5,,
1.0173,08:50,father,-5.9506,5.4691,1.2975,Navigating,(4:5),5,,
1.0173,08:50,mother,1.5452,6.7829,1.2538,Navigating,(8:11),3,,
1.0173,08:50,older_sister,4.1728,6.0864,1.2975,Navigating,(4:9),1,,
1.0173,08:50,player,1.1605,2.8025,1.2975,Navigating,(8:4),5,,
1.5061,08:50,father,-5.4796,5.7046,1.8240,Navigating,(4:5),5,,
1.5061,08:50,mother,1.0743,7.0184,1.7804,Navigating,(8:11),3,,
1.5061,08:50,older_sister,3.7019,5.8509,1.8240,Navigating,(4:9),1,,
1.5061,08:50,player,1.6315,3.0380,1.8240,Navigating,(8:4),5,,
2.0216,08:50,father,-5.0153,5.9368,2.3432,Navigating,(4:5),5,,
2.0216,08:50,mother,0.6099,7.2506,2.2995,Navigating,(8:11),3,,
2.0216,08:50,older_sister,3.2375,5.6188,2.3432,Navigating,(4:9),1,,
2.0216,08:50,player,2.0958,3.2701,2.3432,Navigating,(8:4),5,,
2.5064,08:50,father,-4.5785,6.1552,2.8316,Navigating,(4:5),5,,
2.5064,08:50,mother,0.1731,7.4690,2.7879,Navigating,(8:11),3,,
2.5064,08:50,older_sister,2.8007,5.4003,2.8316,Navigating,(4:9),1,,
2.5064,08:50,player,2.5327,3.4886,2.8316,Navigating,(8:4),5,,
3.0050,08:50,father,-4.1377,6.0688,3.3244,Navigating,(4:5),7,,
3.0050,08:50,mother,-0.2731,7.6921,3.2868,Navigating,(8:11),3,,
3.0050,08:50,older_sister,2.3510,5.1755,3.3344,Navigating,(4:9),1,,
3.0050,08:50,player,2.9824,3.7134,3.3344,Navigating,(8:4),5,,
