frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
0,player,Navigating,3.000000,8.000000,-4.444445,5.333333,0.220000,0,2.142351,0.342958
0,father,Navigating,7.000000,8.000000,-0.888889,7.111111,0.220000,0,1.121584,0.354457
1,player,Navigating,3.000000,7.974240,-4.421547,5.321885,0.220000,0,1.809378,0.352638
1,father,Navigating,7.000000,8.025760,-0.911786,7.122560,0.220000,0,1.093038,0.363552
2,player,Navigating,3.000000,7.901892,-4.357238,5.289730,0.220000,0,1.799896,0.407811
2,father,Navigating,7.000000,8.098107,-0.976096,7.154715,0.220000,0,1.104646,0.385350
3,player,Navigating,3.000000,7.821394,-4.285684,5.253953,0.220000,0,1.817897,0.471221
3,father,Navigating,7.000000,8.178606,-1.047650,7.190492,0.220000,0,1.118898,0.395587
4,player,Navigating,3.000000,7.740895,-4.214129,5.218176,0.220000,0,1.812103,0.415110
4,father,Navigating,7.000000,8.259105,-1.119204,7.226269,0.220000,0,1.146242,0.371871
5,player,Navigating,3.000000,7.660397,-4.142575,5.182399,0.220000,0,1.752843,0.338803
5,father,Navigating,7.000000,8.339602,-1.190758,7.262046,0.220000,0,1.184376,0.353880
6,player,Navigating,3.000000,7.579898,-4.071021,5.146622,0.220000,0,1.475044,0.331522
6,father,Navigating,7.000000,8.420101,-1.262312,7.297823,0.220000,0,1.215904,0.351425
7,player,Navigating,3.000000,7.499400,-3.999467,5.110845,0.220000,0,1.396943,0.417542
7,father,Navigating,7.000000,8.500600,-1.333866,7.333600,0.220000,0,1.235147,0.360221
8,player,Navigating,3.000000,7.418901,-3.927912,5.075068,0.220000,0,1.423592,0.488619
8,father,Navigating,7.000000,8.581099,-1.405421,7.369377,0.220000,0,1.248036,0.409845
9,player,Navigating,3.000000,7.338403,-3.856358,5.039290,0.220000,0,1.429022,0.397878
9,father,Navigating,7.000000,8.661596,-1.476975,7.405154,0.220000,0,1.283777,0.332837
10,player,Navigating,3.000000,7.257905,-3.784804,5.003513,0.220000,0,1.340132,0.332737
10,father,Navigating,7.000000,8.742095,-1.548529,7.440931,0.220000,0,1.351731,0.344878
11,player,Navigating,3.000000,7.177406,-3.713250,4.967736,0.220000,0,1.062458,0.351334
11,father,Navigating,7.000000,8.822594,-1.620083,7.476708,0.220000,0,1.415087,0.362321
12,player,Navigating,3.000000,7.096908,-3.641696,4.931959,0.220000,0,1.052795,0.412785
12,father,Navigating,7.000000,8.903092,-1.691637,7.512486,0.220000,0,1.461975,0.386355
13,player,Navigating,3.000000,7.016409,-3.570142,4.896182,0.220000,0,1.071398,0.473923
13,father,Navigating,7.000000,8.983590,-1.763192,7.548263,0.220000,0,1.493887,0.395632
14,player,Navigating,2.996378,7.000000,-3.558775,4.887280,0.220000,0,1.073517,0.468867
14,father,Navigating,7.000000,9.064089,-1.834746,7.584040,0.220000,0,1.528178,0.370442
15,player,Navigating,2.951299,7.000000,-3.598846,4.867244,0.220000,0,1.102078,0.427563
15,father,Navigating,7.000000,9.144588,-1.906300,7.619817,0.220000,0,1.555938,0.353121
16,player,Navigating,2.871706,7.000000,-3.669595,4.831870,0.220000,0,1.137253,0.341901
16,father,Navigating,7.000000,9.225086,-1.977854,7.655594,0.220000,0,1.584337,0.351452
17,player,Navigating,2.791207,7.000000,-3.741149,4.796093,0.220000,0,1.193944,0.330319
17,father,Navigating,7.000000,9.305584,-2.049408,7.691371,0.220000,0,1.615662,0.365157
18,player,Navigating,2.710709,7.000000,-3.812703,4.760315,0.220000,0,1.235452,0.403965
18,father,Navigating,7.000000,9.386083,-2.120962,7.727148,0.220000,0,1.669454,0.408631
19,player,Navigating,2.630210,7.000000,-3.884258,4.724538,0.220000,0,1.245148,0.485510
19,father,Navigating,7.000000,9.466581,-2.192517,7.762925,0.220000,0,1.776801,0.332730
20,player,Navigating,2.549712,7.000000,-3.955812,4.688761,0.220000,0,1.267629,0.416760
20,father,Navigating,7.000000,9.547080,-2.264071,7.798702,0.220000,0,1.887166,0.345604
21,player,Navigating,2.469214,7.000000,-4.027366,4.652984,0.220000,0,1.295297,0.330688
21,father,Navigating,7.000000,9.627578,-2.335625,7.834479,0.220000,0,1.956384,0.364269
22,player,Navigating,2.388716,7.000000,-4.098919,4.617207,0.220000,0,1.327857,0.347052
22,father,Navigating,7.000000,9.708076,-2.407179,7.870256,0.220000,0,1.971846,0.387355
23,player,Navigating,2.308217,7.000000,-4.170473,4.581430,0.220000,0,1.347099,0.401671
23,father,Navigating,7.000000,9.788575,-2.478733,7.906034,0.220000,0,1.989367,0.395323
24,player,Navigating,2.227719,7.000000,-4.242027,4.545653,0.220000,0,1.366759,0.467321
24,father,Navigating,7.000000,9.869074,-2.550287,7.941811,0.220000,0,2.075905,0.369084
25,player,Navigating,2.147221,7.000000,-4.313581,4.509876,0.220000,0,1.419467,0.422833
25,father,Navigating,7.000000,9.949572,-2.621842,7.977588,0.220000,0,2.132795,0.352511
26,player,Navigating,2.066722,7.000000,-4.385136,4.474099,0.220000,0,1.523501,0.340484
26,father,Navigating,7.000000,10.000000,-2.666667,8.000000,0.220000,0,2.146680,0.351347
27,player,Navigating,1.986224,7.000000,-4.456690,4.438322,0.220000,0,1.612341,0.330246
27,father,Navigating,7.025758,9.999999,-2.643770,8.011448,0.220000,0,2.053088,0.351454
28,player,Navigating,1.905725,7.000000,-4.528244,4.402544,0.220000,0,1.626649,0.409898
28,father,Navigating,7.098105,9.999998,-2.579460,8.043602,0.220000,0,1.948307,0.357745
29,player,Navigating,1.825227,7.000000,-4.599798,4.366767,0.220000,0,1.638831,0.487316
29,father,Navigating,7.178604,9.999998,-2.507906,8.079379,0.220000,0,1.953770,0.410146
30,player,Navigating,1.744728,7.000000,-4.671352,4.330990,0.220000,0,1.727271,0.408742
30,father,Navigating,7.259103,9.999998,-2.436352,8.115156,0.220000,0,1.949418,0.333047
31,player,Navigating,1.664230,7.000000,-4.742907,4.295213,0.220000,0,1.759826,0.331614
31,father,Navigating,7.339601,9.999998,-2.364798,8.150933,0.220000,0,1.829525,0.344481
32,player,Navigating,1.583732,7.000000,-4.814461,4.259436,0.220000,0,1.791765,0.348875
32,father,Navigating,7.420099,9.999998,-2.293243,8.186710,0.220000,0,1.696047,0.361378
33,player,Navigating,1.503233,7.000000,-4.886015,4.223659,0.220000,0,1.822001,0.406489
33,father,Navigating,7.500598,9.999998,-2.221689,8.222487,0.220000,0,1.640363,0.385850
34,player,Navigating,1.422734,7.000000,-4.957570,4.187882,0.220000,0,1.856690,0.470389
34,father,Navigating,7.581097,9.999998,-2.150135,8.258265,0.220000,0,1.638476,0.395641
35,player,Navigating,1.342236,7.000000,-5.029124,4.152105,0.220000,0,1.944746,0.416803
35,father,Navigating,7.661595,9.999998,-2.078581,8.294042,0.220000,0,1.650337,0.371144
36,player,Navigating,1.261737,7.000000,-5.100678,4.116328,0.220000,0,2.115957,0.339145
36,father,Navigating,7.742093,9.999998,-2.007027,8.329819,0.220000,0,1.648025,0.353485
