frame,actor,phase,grid_x,grid_y,position_x,position_y,radius
0,player,Navigating,1.000000,1.000000,0.000000,1.333333,0.220000
0,father,Navigating,11.000000,11.000000,0.000000,10.222220,0.220000
1,player,Navigating,1.025760,1.000000,0.022897,1.344782,0.220000
1,father,Navigating,11.000000,10.974240,0.022897,10.210770,0.220000
2,player,Navigating,1.043349,1.000000,0.038533,1.352600,0.220000
2,father,Navigating,11.000000,10.956650,0.038533,10.202960,0.220000
3,player,Navigating,1.058404,1.000000,0.051914,1.359290,0.220000
3,father,Navigating,11.000000,10.941600,0.051914,10.196270,0.220000
4,player,Navigating,1.138819,1.000000,0.123395,1.395031,0.220000
4,father,Navigating,11.000000,10.861180,0.123395,10.160530,0.220000
5,player,Navigating,1.164021,1.000000,0.145797,1.406232,0.220000
5,father,Navigating,11.000000,10.835980,0.145797,10.149330,0.220000
6,player,Navigating,1.180792,1.000000,0.160704,1.413685,0.220000
6,father,Navigating,11.000000,10.819210,0.160704,10.141870,0.220000
7,player,Navigating,1.261290,1.000000,0.232258,1.449462,0.220000
7,father,Navigating,11.000000,10.738710,0.232258,10.106090,0.220000
8,player,Navigating,1.286633,1.000000,0.254785,1.460726,0.220000
8,father,Navigating,11.000000,10.713370,0.254784,10.094830,0.220000
9,player,Navigating,1.303403,1.000000,0.269692,1.468179,0.220000
9,father,Navigating,11.000000,10.696600,0.269691,10.087380,0.220000
10,player,Navigating,1.383901,1.000000,0.341246,1.503956,0.220000
10,father,Navigating,11.000000,10.616100,0.341246,10.051600,0.220000
11,player,Navigating,1.406975,1.000000,0.361756,1.514211,0.220000
11,father,Navigating,11.000000,10.593030,0.361756,10.041350,0.220000
12,player,Navigating,1.423746,1.000000,0.376663,1.521665,0.220000
12,father,Navigating,11.000000,10.576250,0.376663,10.033890,0.220000
13,player,Navigating,1.504245,1.000000,0.448218,1.557442,0.220000
13,father,Navigating,11.000000,10.495760,0.448217,9.998115,0.220000
14,player,Navigating,1.528423,1.000000,0.469709,1.568188,0.220000
14,father,Navigating,11.000000,10.471580,0.469709,9.987369,0.220000
15,player,Navigating,1.545193,1.000000,0.484616,1.575641,0.220000
15,father,Navigating,11.000000,10.454810,0.484616,9.979915,0.220000
16,player,Navigating,1.625692,1.000000,0.556170,1.611418,0.220000
16,father,Navigating,11.000000,10.374310,0.556170,9.944138,0.220000
17,player,Navigating,1.649125,1.000000,0.577000,1.621833,0.220000
17,father,Navigating,11.000000,10.350870,0.577000,9.933722,0.220000
18,player,Navigating,1.665896,1.000000,0.591908,1.629287,0.220000
18,father,Navigating,11.000000,10.334100,0.591907,9.926269,0.220000
19,player,Navigating,1.746394,1.000000,0.663462,1.665064,0.220000
19,father,Navigating,11.000000,10.253610,0.663461,9.890491,0.220000
20,player,Navigating,1.772454,1.000000,0.686626,1.676646,0.220000
20,father,Navigating,11.000000,10.227550,0.686626,9.878909,0.220000
21,player,Navigating,1.789225,1.000000,0.701533,1.684100,0.220000
21,father,Navigating,11.000000,10.210770,0.701533,9.871455,0.220000
22,player,Navigating,1.869724,1.000000,0.773088,1.719877,0.220000
