part,min_x,min_y,min_z,max_x,max_y,max_z
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerHandle_1,0.423029,0.520962,1.436254,0.556476,0.548821,1.580656
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerHandle_2,4.410524,0.688115,-0.448912,4.543972,0.715974,-0.304510
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_FrontEdge,3.141267,0.739189,-0.991745,4.598622,0.869198,0.700744
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerHandle_1,-1.490759,0.520961,-3.687333,-1.357312,0.548820,-3.542932
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerLine_2,-1.566581,0.640754,-3.759534,-1.302720,0.659327,-3.455719
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerLine_2,4.355932,0.640755,-0.521113,4.619794,0.659327,-0.217297
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Top,3.182970,0.793979,-0.955109,5.213360,0.896128,1.128279
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_Screen,-0.848767,1.035422,-3.126045,-0.462074,1.323297,-2.677472
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerHandle_0,0.423029,0.353808,1.436254,0.556476,0.381667,1.580656
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Leg,-0.877188,0.000000,-2.637713,-0.695215,0.798621,-2.466147
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_TextLine_1,1.188056,1.192361,1.788745,1.453435,1.203504,2.097922
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_TextLine_0,1.260087,1.248078,1.855763,1.457226,1.259222,2.084519
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_Body,1.078114,0.947202,1.382170,1.896996,1.411517,2.204258
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Leg,3.748423,0.000001,0.600698,3.930397,0.798622,0.772264
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Leg,-1.594693,0.000000,-3.837518,-1.412720,0.798621,-3.665952
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerHandle_2,0.423029,0.688115,1.436254,0.556476,0.715974,1.580656
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerLine_0,4.355932,0.306448,-0.521113,4.619794,0.325021,-0.217297
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerLine_0,-1.566581,0.306448,-3.759534,-1.302720,0.325020,-3.455719
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerLine_0,0.368436,0.306448,1.349041,0.632298,0.325021,1.652857
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_Base,1.161518,0.882199,1.526929,1.752933,0.993634,2.102391
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Top,-2.160145,0.793978,-4.193524,-0.129763,0.896128,-2.110141
