furniture_id,blocks_movement,origin_x,origin_y,width,height
wall_front_y0_x00,False,0,0,1,1
wall_back_y12_x00,False,0,12,1,1
wall_front_y0_x01,False,1,0,1,1
wall_back_y12_x01,False,1,12,1,1
wall_front_y0_x02,False,2,0,1,1
wall_back_y12_x02,False,2,12,1,1
wall_front_y0_x03,False,3,0,1,1
wall_back_y12_x03,False,3,12,1,1
wall_front_y0_x04,False,4,0,1,1
wall_back_y12_x04,False,4,12,1,1
wall_front_y0_x05,False,5,0,1,1
wall_back_y12_x05,False,5,12,1,1
wall_front_y0_x06,False,6,0,1,1
wall_back_y12_x06,False,6,12,1,1
wall_front_y0_x07,False,7,0,1,1
wall_back_y12_x07,False,7,12,1,1
entrance_door,False,8,0,1,1
wall_back_y12_x08,False,8,12,1,1
wall_front_y0_x09,False,9,0,1,1
wall_back_y12_x09,False,9,12,1,1
wall_front_y0_x10,False,10,0,1,1
wall_back_y12_x10,False,10,12,1,1
wall_front_y0_x11,False,11,0,1,1
wall_back_y12_x11,False,11,12,1,1
wall_front_y0_x12,False,12,0,1,1
wall_back_y12_x12,False,12,12,1,1
wall_front_x0_y00,False,0,0,1,1
wall_back_x12_y00,False,12,0,1,1
wall_front_x0_y01,False,0,1,1,1
wall_back_x12_y01,False,12,1,1,1
wall_front_x0_y02,False,0,2,1,1
wall_back_x12_y02,False,12,2,1,1
wall_front_x0_y03,False,0,3,1,1
wall_back_x12_y03,False,12,3,1,1
wall_front_x0_y04,False,0,4,1,1
wall_back_x12_y04,False,12,4,1,1
wall_front_x0_y05,False,0,5,1,1
wall_back_x12_y05,False,12,5,1,1
wall_front_x0_y06,False,0,6,1,1
wall_back_x12_y06,False,12,6,1,1
wall_front_x0_y07,False,0,7,1,1
wall_back_x12_y07,False,12,7,1,1
wall_front_x0_y08,False,0,8,1,1
wall_back_x12_y08,False,12,8,1,1
wall_front_x0_y09,False,0,9,1,1
wall_back_x12_y09,False,12,9,1,1
wall_front_x0_y10,False,0,10,1,1
wall_back_x12_y10,False,12,10,1,1
wall_front_x0_y11,False,0,11,1,1
wall_back_x12_y11,False,12,11,1,1
wall_front_x0_y12,False,0,12,1,1
wall_back_x12_y12,False,12,12,1,1
qa-player-father-workstation-0,True,3,5,2,1
qa-player-father-workstation-0:chair,False,4,4,1,1
qa-player-father-workstation-1,True,10,4,1,2
qa-player-father-workstation-1:chair,False,9,4,1,1
qa-player-father-workstation-2,True,9,8,2,1
qa-player-father-workstation-2:chair,False,9,9,1,1
