frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
0,player,Navigating,3.000000,8.000000,-4.444445,5.333333,0.220000,0,2.173216,0.354002
0,father,Navigating,7.000000,8.000000,-0.888889,7.111111,0.220000,0,1.151474,0.362392
1,player,Navigating,3.000000,7.974240,-4.421547,5.321884,0.220000,0,2.005984,0.349872
1,father,Navigating,7.000000,8.025760,-0.911786,7.122560,0.220000,0,1.131004,0.359345
2,player,Navigating,3.000000,7.901892,-4.357238,5.289730,0.220000,0,1.923170,0.340414
2,father,Navigating,7.000000,8.098107,-0.976096,7.154714,0.220000,0,1.147448,0.353317
3,player,Navigating,3.000000,7.821394,-4.285684,5.253953,0.220000,0,1.741875,0.333823
3,father,Navigating,7.000000,8.178606,-1.047650,7.190491,0.220000,0,1.164847,0.351224
4,player,Navigating,3.000000,7.740895,-4.214129,5.218175,0.220000,0,1.585583,0.360099
4,father,Navigating,7.000000,8.259105,-1.119204,7.226268,0.220000,0,1.181607,0.349959
5,player,Navigating,3.000000,7.660397,-4.142575,5.182398,0.220000,0,1.474023,0.390614
5,father,Navigating,7.000000,8.339602,-1.190758,7.262045,0.220000,0,1.199813,0.348303
6,player,Navigating,3.000000,7.579898,-4.071021,5.146621,0.220000,0,1.426907,0.428046
6,father,Navigating,7.000000,8.420101,-1.262312,7.297822,0.220000,0,1.215104,0.351183
7,player,Navigating,3.000000,7.499400,-3.999467,5.110844,0.220000,0,1.388238,0.466672
7,father,Navigating,7.000000,8.500600,-1.333866,7.333600,0.220000,0,1.232402,0.368899
8,player,Navigating,3.000000,7.418901,-3.927912,5.075067,0.220000,0,1.353935,0.499687
8,father,Navigating,7.000000,8.581099,-1.405421,7.369377,0.220000,0,1.252324,0.391313
9,player,Navigating,3.000000,7.338403,-3.856358,5.039290,0.220000,0,1.319512,0.514264
9,father,Navigating,7.000000,8.661596,-1.476975,7.405154,0.220000,0,1.278939,0.396586
10,player,Navigating,3.000000,7.257905,-3.784804,5.003513,0.220000,0,1.278395,0.490883
10,father,Navigating,7.000000,8.742095,-1.548529,7.440931,0.220000,0,1.314500,0.373681
11,player,Navigating,3.000000,7.177406,-3.713250,4.967736,0.220000,0,1.233966,0.444327
11,father,Navigating,7.000000,8.822594,-1.620083,7.476708,0.220000,0,1.361762,0.342071
12,player,Navigating,3.000000,7.096908,-3.641696,4.931959,0.220000,0,1.187297,0.378388
12,father,Navigating,7.000000,8.903092,-1.691637,7.512485,0.220000,0,1.422396,0.342367
13,player,Navigating,3.000000,7.016409,-3.570142,4.896182,0.220000,0,1.112098,0.342698
13,father,Navigating,7.000000,8.983590,-1.763192,7.548262,0.220000,0,1.489276,0.348947
14,player,Navigating,2.997975,6.971838,-3.532323,4.875473,0.220000,0,1.057401,0.346800
14,father,Navigating,7.000000,9.064089,-1.834746,7.584039,0.220000,0,1.555099,0.355591
15,player,Navigating,2.973009,6.916772,-3.505567,4.839902,0.220000,0,0.969287,0.350767
15,father,Navigating,7.000000,9.144588,-1.906300,7.619816,0.220000,0,1.623750,0.362000
16,player,Navigating,2.920403,6.891652,-3.529999,4.805357,0.220000,0,1.053254,0.354219
16,father,Navigating,7.000000,9.225086,-1.977854,7.655593,0.220000,0,1.688233,0.370249
17,player,Navigating,2.845286,6.892897,-3.597876,4.772525,0.220000,0,1.094136,0.361229
17,father,Navigating,7.000000,9.305584,-2.049408,7.691370,0.220000,0,1.750886,0.382924
18,player,Navigating,2.767574,6.897407,-3.670962,4.739991,0.220000,0,1.119978,0.373817
