frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
0,player,157,87,0,7,1.856573,-1.052416,28,86,28,25,0.290698,18,21,24,43,1575,0.170898,469.127000,237.110700,470.899100,226.238500,-1.772064,10.872120
0,father,71,96,3,2,-0.646224,-0.695413,28,95,28,32,0.336842,17,18,21,43,1672,0.181424,810.865300,408.398200,809.100900,395.339400,1.764404,13.058780
1,player,119,114,0,8,1.409359,-1.052416,35,88,28,27,0.306818,25,32,35,44,1789,0.194119,470.281100,236.573000,471.194500,226.386200,-0.913361,10.186740
1,father,57,137,0,6,1.142634,-1.142626,31,95,31,31,0.326316,15,15,18,45,1583,0.171767,810.721700,407.556700,808.805500,395.191700,1.916199,12.364960
2,player,98,126,0,7,1.946841,-1.273921,36,88,27,27,0.306818,24,33,36,44,1743,0.189128,472.946400,236.178600,472.080700,226.829300,0.865723,9.349228
2,father,75,113,0,1,2.484270,-0.289255,31,94,26,31,0.329787,23,29,31,44,1807,0.196072,809.457500,405.792500,807.919300,394.748600,1.538208,11.043910
3,player,139,132,1,23,-0.826707,-3.288485,26,91,26,26,0.285714,19,23,25,47,1658,0.179905,476.437300,237.647600,473.557700,227.567900,2.879517,10.079740
3,father,91,103,0,0,1.499599,1.052385,33,93,25,31,0.333333,26,32,33,43,1911,0.207357,805.793800,403.845400,806.442200,394.010100,-0.648377,9.835266
4,player,153,154,2,102,-1.273922,-6.866196,28,90,28,26,0.288889,15,18,27,45,1650,0.179037,480.415300,240.219900,475.330200,228.454100,5.085114,11.765780
4,father,120,101,0,0,2.841238,1.946808,29,93,28,31,0.333333,20,20,27,42,1788,0.194010,801.757900,403.576900,804.669700,393.123900,-2.911804,10.453060
5,player,154,169,19,168,-2.615564,-9.770986,31,91,28,25,0.274725,17,18,29,46,1704,0.184896,483.280200,242.329700,477.102700,229.340300,6.177521,12.989430
