frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
0,player,0.640000,false,false,6.196992,2.182513,5.758550,1.763110,6.106518,2.084226,5.617973,1.658443,11.923810,10.174320,5.609640,-1.846934,Infinity
0,father,0.640000,false,false,6.137343,10.094860,5.828960,9.858937,6.071829,9.997203,5.708604,9.792562,14.271100,12.945070,8.595313,2.077571,Infinity
1,player,0.646988,false,false,6.238544,2.098413,5.715514,1.885784,6.128054,2.044976,5.565516,1.851338,10.288700,8.480806,3.462560,-4.000000,Infinity
1,father,0.646988,false,false,6.122166,10.117700,5.860887,9.827074,6.080417,10.016360,5.752117,9.737527,14.868350,12.870830,8.451955,3.761305,Infinity
2,player,0.667951,false,true,6.337205,1.996804,5.867276,2.044253,6.246364,2.001151,5.751915,2.089988,6.406195,14.452870,0.082613,3.870382,3.870382
2,father,0.667951,false,true,6.100794,10.174590,5.904818,9.852072,6.085564,10.081910,5.813468,9.747195,12.805400,13.854540,6.434760,3.870326,3.870326
3,player,0.702889,false,true,6.149633,1.864374,5.865924,2.142154,6.114362,1.902584,5.814533,2.251012,13.787430,14.081780,8.885259,3.870354,3.870354
3,father,0.702889,false,true,6.067627,10.186910,5.949620,9.867000,6.077830,10.121060,5.879853,9.751826,12.320430,14.441930,6.636064,3.870213,3.870213
4,player,0.744816,false,true,6.013783,1.719832,5.973671,2.096883,6.026690,1.730310,5.994514,2.236965,8.650699,15.863270,4.382674,3.870213,3.870213
4,father,0.744816,false,true,6.040067,10.151800,5.971215,9.872481,6.060085,10.128780,5.918292,9.753523,13.702370,14.657680,9.113770,3.869950,3.869950
5,player,0.786742,false,true,5.971014,1.787100,5.999295,2.093647,5.984829,1.759293,6.043519,2.235964,11.297820,15.990590,5.711164,3.870016,3.870016
5,father,0.786742,false,true,6.039010,10.094120,5.969805,9.872259,6.062411,10.101010,5.916156,9.753462,15.972060,14.648910,11.578680,3.870401,3.870401
6,player,0.828668,false,true,5.982054,1.900089,6.000108,2.094240,5.975426,1.873861,6.045135,2.236142,15.744100,15.967260,10.247530,3.870354,3.870354
6,father,0.828668,false,true,6.032587,10.020850,5.968731,9.871981,6.068687,10.025620,5.914475,9.753373,18.393420,14.637980,12.333530,3.870288,3.870288
7,player,0.870595,false,true,5.987357,2.034062,6.000730,2.094811,5.966571,2.042360,6.046540,2.236324,18.335350,15.944760,13.861880,3.870138,3.870138
7,father,0.870595,false,true,6.029221,9.931447,5.967361,9.871708,6.073487,9.913612,5.912446,9.753289,16.978050,14.627230,11.960460,3.870326,3.870326
