frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
0,player,0.640000,false,false,2.205015,6.189946,1.748725,5.753468,2.110860,6.087658,1.602424,5.644541,11.154020,9.404803,4.839884,-2.616518,Infinity
0,father,0.640000,false,false,10.142930,6.098726,9.821997,5.853195,10.074750,5.997088,9.696740,5.784117,13.501430,12.175390,7.825697,1.307880,Infinity
1,player,0.646988,false,false,2.127416,6.245188,1.874768,5.704664,2.082017,6.128963,1.777474,5.556007,9.634971,7.738797,2.778408,-4.000000,Infinity
1,father,0.646988,false,false,10.149460,6.067894,9.801638,5.896695,10.063580,5.980958,9.674193,5.859547,13.254690,11.405550,7.144011,0.418089,Infinity
2,player,0.667951,false,true,2.030205,6.421747,2.042020,5.918146,2.037277,6.328192,2.011100,5.767699,2.958918,15.810970,-3.340455,3.562361,3.562361
2,father,0.667951,false,true,10.219930,6.033268,9.872090,5.950019,10.128260,5.970070,9.753407,5.949354,10.590060,14.069510,4.336994,3.562379,3.562379
3,player,0.702889,false,true,1.932598,6.209090,2.183169,5.878072,1.963326,6.163991,2.221787,5.755263,10.999890,11.980050,5.891487,3.562397,3.562397
3,father,0.702889,false,true,10.156740,5.989870,9.847074,6.002534,10.080300,5.954401,9.745637,6.037210,12.979210,13.123580,7.100306,3.562055,3.562055
4,player,0.744816,false,true,1.786280,6.070516,2.151505,5.973005,1.783377,6.055614,2.253920,5.905693,10.824830,13.177330,6.665678,3.562163,3.562163
4,father,0.744816,false,true,10.069220,5.958322,9.826290,6.029958,10.031380,5.937485,9.739202,6.085028,16.288820,12.337720,11.358900,3.562848,3.562848
5,player,0.786742,false,true,1.830336,6.030184,2.129735,6.000739,1.791811,6.015808,2.247159,5.954709,12.490700,14.000520,6.378469,3.562425,3.562425
5,father,0.786742,false,true,10.008190,5.959421,9.825306,6.031434,9.999127,5.935066,9.738893,6.087264,17.371670,12.300520,12.036370,3.562668,3.562668
6,player,0.828668,false,true,1.941611,6.018669,2.131152,5.999907,1.918913,6.025565,2.247603,5.953063,16.698240,13.946920,11.453780,3.562217,3.562217
6,father,0.828668,false,true,9.934974,5.966078,9.824368,6.032562,9.914877,5.928510,9.738596,6.089050,16.447270,12.265070,11.345410,3.562343,3.562343
7,player,0.870595,false,true,2.078624,6.013175,2.132563,5.999248,2.101684,6.034806,2.248042,5.951555,15.933110,13.893570,10.668820,3.562136,3.562136
7,father,0.870595,false,true,9.842717,5.969595,9.823458,6.033967,9.793450,5.923523,9.738307,6.091104,12.958860,12.230610,6.257681,3.562019,3.562019
8,player,0.912521,false,true,2.237404,6.011066,2.133881,5.999103,2.321152,6.047113,2.248447,5.950554,9.929312,13.843740,1.337621,3.562379,3.562379
8,father,0.912521,false,true,9.735947,5.970307,9.822596,6.034397,9.650835,5.916591,9.738052,6.092186,8.921638,12.198020,0.255168,3.562704,3.562704
9,player,0.954447,false,true,2.417703,6.015871,2.135280,5.998974,2.558299,6.059774,2.248882,5.949559,3.111844,13.790840,-4.000000,3.562325,3.562325
9,father,0.954447,false,true,9.616898,5.967444,9.821573,6.034830,9.502529,5.909440,9.737732,6.093342,4.420132,12.159370,-4.000000,3.562560,3.562560
10,player,0.996373,false,true,2.586099,6.020157,2.139801,5.999026,2.766745,6.060793,2.250287,5.948479,3.255597,13.619900,-4.000000,3.562181,3.562181
10,father,0.996373,false,true,9.507455,5.965204,9.818517,6.034983,9.375290,5.910496,9.736781,6.094635,0.281902,12.043780,-4.000000,3.562416,3.562416
11,player,0.038300,false,false,2.670768,6.015101,2.208371,5.996943,2.843606,6.051825,2.314105,5.948404,6.457081,11.027110,-1.790928,1.229981,Infinity
11,father,0.038300,false,false,9.417481,5.968342,9.738213,6.035845,9.287434,5.917388,9.659419,6.095017,3.120206,9.007307,-4.000000,0.687280,Infinity
12,player,0.080226,false,false,2.742227,6.007571,2.273477,5.993360,2.903358,6.040181,2.372059,5.948204,9.159118,8.565313,1.198861,-0.839699,Infinity
12,father,0.080226,false,false,9.343713,5.973065,9.668603,6.037508,9.217631,5.926256,9.593952,6.095332,5.909561,6.375225,-1.189269,-1.717699,Infinity
13,player,0.122152,false,false,2.758114,6.002468,2.291651,5.989895,2.908794,6.031541,2.378641,5.948773,9.759849,7.878108,2.056450,-0.891311,Infinity
13,father,0.122152,false,false,9.324779,5.975659,9.649616,6.038653,9.202600,5.932370,9.581017,6.094186,6.625500,5.657298,-0.377368,-2.103834,Infinity
14,player,0.164079,true,false,2.796545,6.004351,2.348931,5.984822,2.945066,6.031912,2.413928,5.950265,11.212990,5.712253,3.562668,-1.851384,3.562668
14,father,0.164079,true,false,9.221060,5.973034,9.536379,6.040006,9.099610,5.931000,9.480267,6.091848,10.547320,1.375580,3.562343,-4.000000,3.562343
15,player,0.206005,true,false,2.795919,6.004533,2.384630,5.978134,2.943478,6.031185,2.411249,5.951863,11.189330,4.362388,3.562650,-1.097053,3.562650
15,father,0.206005,true,false,9.221207,5.971090,9.515453,6.041869,9.099987,5.929977,9.483682,6.089499,10.541760,0.584291,3.562451,-4.000000,3.562451
16,player,0.247931,true,false,2.795493,6.004620,2.440318,5.977273,2.942399,6.030323,2.414295,5.957738,11.173200,2.256706,3.562587,-2.382896,3.562587
16,father,0.247931,true,false,9.221284,5.969154,9.481759,6.040518,9.100178,5.928883,9.485884,6.084928,10.538880,0.689747,3.562307,-3.536407,3.562307
17,player,0.289858,true,false,2.795342,6.004242,2.519226,5.978031,2.942032,6.028790,2.462198,5.962107,11.167490,0.726979,3.562172,-4.000000,3.562172
17,father,0.289858,true,false,9.221240,5.967687,9.432353,6.038096,9.100070,5.928341,9.463387,6.083131,10.540500,2.557889,3.562416,-3.143673,3.562416
18,player,0.331784,true,false,2.795150,6.005481,2.610030,5.985588,2.941545,6.028743,2.558101,5.955282,11.160260,4.160481,3.562181,-2.686670,3.562181
18,father,0.331784,true,false,9.221220,5.965853,9.373203,6.032967,9.100013,5.927412,9.400257,6.087325,10.541270,4.794473,3.562235,-0.688858,3.562235
19,player,0.373710,true,false,2.794940,6.006536,2.716939,5.991199,2.941008,6.028442,2.698269,5.948277,11.152290,8.202925,3.562235,3.179282,3.562235
19,father,0.373710,true,false,9.221204,5.964416,9.301687,6.028947,9.099975,5.926907,9.306575,6.091277,10.541910,7.498655,3.562307,3.230659,3.562307
20,player,0.415636,true,false,2.794780,6.007176,2.849281,5.993112,2.940599,6.027916,2.876177,5.936007,11.146230,13.207050,3.562307,8.546014,3.562307
20,father,0.415636,true,false,9.213432,5.963457,9.206849,6.027303,9.092175,5.926849,9.184676,6.098678,10.835750,11.084640,3.855479,6.539710,3.855479
21,player,0.457563,true,false,2.794547,6.007811,2.996701,5.991217,2.940012,6.027343,3.070624,5.924216,11.137460,18.573970,3.562226,10.900460,3.562226
21,father,0.457563,true,false,9.192370,5.962514,9.089400,6.027720,9.071095,5.926815,9.042068,6.105548,11.632130,15.525670,4.651441,9.590784,4.651441
22,player,0.499489,true,false,2.794407,6.008152,3.127681,5.985713,2.939646,6.026437,3.246659,5.921591,11.132130,14.078150,3.562479,3.554888,3.562479
22,father,0.499489,true,false,9.173748,5.961946,8.984754,6.030793,9.052448,5.927140,8.911380,6.105797,12.336300,17.741720,5.354980,9.629404,5.354980
23,player,0.541415,false,false,2.777594,6.008158,3.220859,5.980633,2.920832,6.024862,3.373986,5.929484,10.496410,10.554930,2.975928,-1.840683,Infinity
23,father,0.541415,false,false,9.157152,5.961826,8.895759,6.033559,9.036597,5.928008,8.802053,6.099217,12.963810,14.964450,6.000822,5.826831,Infinity
24,player,0.583342,false,false,2.774524,6.008344,3.271403,5.984599,2.911900,6.022614,3.436993,5.953347,10.380350,8.643758,3.003947,-4.000000,Infinity
24,father,0.583342,false,false,9.144792,5.962247,8.848146,6.031167,9.026792,5.929667,8.742450,6.082345,13.431210,13.164140,6.530983,3.369060,Infinity
25,player,0.625268,false,false,2.774507,6.011256,3.284138,5.994157,2.898054,6.021004,3.428891,5.965259,10.379700,8.162200,3.343186,-3.774235,Infinity
25,father,0.625268,false,false,9.132041,5.962108,8.827289,6.027225,9.020523,5.931727,8.727588,6.074376,13.913300,12.375470,7.172426,2.909109,Infinity
26,player,0.667194,false,true,2.616656,6.017195,3.118179,5.998537,2.713834,6.018643,3.243569,5.959404,4.411009,14.437490,-1.977415,3.562614,3.562614
26,father,0.667194,false,true,9.133046,5.960608,8.831429,6.027017,9.034970,5.934469,8.740787,6.078908,13.875310,12.531990,7.464805,3.562343,3.562343
27,player,0.709120,false,true,2.666855,6.023636,3.127075,6.000091,2.718935,6.017207,3.246332,5.955804,6.309140,14.101090,1.029133,3.562532,3.562532
27,father,0.709120,false,true,9.106538,5.959092,8.826986,6.028296,9.034491,5.936020,8.739409,6.082836,14.877630,12.364040,9.106853,3.562416,3.562416
28,player,0.751047,false,true,2.744305,6.029656,3.128475,6.000371,2.735004,6.014150,3.246765,5.955181,9.237668,14.048170,4.727762,3.562578,3.562578
28,father,0.751047,false,true,9.060687,5.957854,8.826109,6.030228,9.029160,5.937084,8.739135,6.085430,16.611380,12.330820,11.836480,3.562271,3.562271
29,player,0.792973,false,true,2.846041,6.029185,3.129941,6.000673,2.806878,6.016847,3.247220,5.954505,13.084550,13.992710,6.937304,3.562623,3.562623
29,father,0.792973,false,true,8.998254,5.960174,8.825172,6.031610,8.989889,5.934271,8.738846,6.087535,17.400120,12.295430,11.979950,3.562379,3.562379
30,player,0.834899,false,true,2.960010,6.016998,3.131349,5.999795,2.942655,6.026861,3.247656,5.952837,17.393950,13.939470,12.442390,3.562650,3.562650
30,father,0.834899,false,true,8.922587,5.967032,8.824256,6.032732,8.898827,5.927809,8.738563,6.089297,15.978880,12.260770,10.676170,3.562451,3.562451
31,player,0.876825,false,true,3.100724,6.012630,3.132754,5.999194,3.132409,6.036641,3.248097,5.951373,15.097490,13.886340,9.360240,3.562379,3.562379
31,father,0.876825,false,true,8.827785,5.969863,8.823334,6.034103,8.773182,5.922496,8.738276,6.091343,12.394230,12.225910,5.400488,3.562451,3.562451
32,player,0.918752,false,true,3.263024,6.011131,3.134080,5.999124,3.355831,6.048839,3.248511,5.950448,8.960573,13.836200,-0.127803,3.562262,3.562262
32,father,0.918752,false,true,8.718806,5.970222,8.822419,6.034396,8.628695,5.915661,8.737990,6.092311,8.273504,12.191340,-0.667042,3.562307,3.562307
33,player,0.960678,false,true,3.445237,6.016695,3.135637,5.998809,3.593343,6.061186,3.248991,5.949378,2.070733,13.777360,-4.000000,3.562397,3.562397
33,father,0.960678,false,true,8.598938,5.966962,8.821298,6.034955,8.481022,5.908763,8.737646,6.093549,3.741039,12.148920,-4.000000,3.562523,3.562523
34,player,0.002604,false,true,3.598722,6.020062,3.140754,5.998960,3.780869,6.059425,3.250578,5.948409,3.732905,13.583870,-4.000000,3.562460,3.562460
34,father,0.002604,false,true,8.499353,5.965299,8.817927,6.035015,8.366520,5.911571,8.736602,6.094746,0.024488,12.021460,-4.000000,3.562632,3.562632
35,player,0.044530,false,false,3.673203,6.013802,3.209682,5.996519,3.844309,6.049873,3.314553,5.948360,6.549160,10.977540,-1.656224,1.227691,Infinity
35,father,0.044530,false,false,8.416051,5.969177,8.737467,6.036060,8.286549,5.918845,8.659191,6.095109,3.174314,8.979087,-4.000000,0.687461,Infinity
36,player,0.086457,false,false,3.747952,6.006682,3.278790,5.992822,3.907351,6.038682,3.375963,5.948277,9.375584,8.364406,1.457928,-0.963332,Infinity
36,father,0.086457,false,false,8.340537,5.973566,8.665812,6.037728,8.215082,5.927355,8.591946,6.095264,6.029652,6.269672,-1.053790,-1.780191,Infinity
37,player,0.128383,false,false,3.757662,6.002778,3.292932,5.989331,3.907629,6.031602,3.377375,5.948966,9.742726,7.829690,2.056838,-0.800123,Infinity
