realSeconds,minute,phase,activity,assigned,remaining,personHours,energy,taskResult,position,cell,destination,pathLength,reservationBlocker,movementBlocker
18.9,15,Navigating,Walking,True,248,0,100,,(-2.42: 2.55),(1:4),(9:10),18,,
23.9,35,Working,Work,True,244,0,99,,(0.00: 8.44),(9:9),,0,,
28.9,55,Working,Work,True,224,0,96,,(0.00: 8.44),(9:9),,0,,
33.9,75,Working,Work,True,204,0,94,,(0.00: 8.44),(9:9),,0,,
38.9,95,Working,Work,True,184,0,91,,(0.00: 8.44),(9:9),,0,,
43.9,115,Working,Work,True,164,0,89,,(0.00: 8.44),(9:9),,0,,
48.9,135,Working,Work,True,144,0,87,,(0.00: 8.44),(9:9),,0,,
53.9,155,Working,Work,True,124,0,84,,(0.00: 8.44),(9:9),,0,,
58.9,175,Working,Work,True,104,0,82,,(0.00: 8.44),(9:9),,0,,
63.9,195,Working,Work,True,84,0,79,,(0.00: 8.44),(9:9),,0,,
68.9,215,Working,Work,True,64,0,77,,(0.00: 8.44),(9:9),,0,,
74.0,235,Working,Work,True,44,0,75,,(0.00: 8.44),(9:9),,0,,
79.0,255,Working,Work,True,24,0,72,,(0.00: 8.44),(9:9),,0,,
84.0,275,Working,Work,True,4,0,70,,(0.00: 8.44),(9:9),,0,,
