realSeconds,minute,phase,activity,assigned,remaining,personHours,energy,taskResult,position,cell,destination,pathLength,reservationBlocker,movementBlocker
18.8,15,Navigating,Walking,True,248,0,100,,(-2.31: 2.49),(1:4),(9:10),18,,
23.8,35,Working,Work,True,245,0,99,,(0.00: 8.44),(9:9),,0,,
28.8,55,Working,Work,True,225,0,96,,(0.00: 8.44),(9:9),,0,,
33.8,75,Working,Work,True,205,0,94,,(0.00: 8.44),(9:9),,0,,
38.8,95,Working,Work,True,185,0,92,,(0.00: 8.44),(9:9),,0,,
43.8,115,Working,Work,True,165,0,89,,(0.00: 8.44),(9:9),,0,,
48.8,135,Working,Work,True,145,0,87,,(0.00: 8.44),(9:9),,0,,
53.8,155,Working,Work,True,125,0,84,,(0.00: 8.44),(9:9),,0,,
58.8,175,Working,Work,True,105,0,82,,(0.00: 8.44),(9:9),,0,,
63.8,195,Working,Work,True,85,0,80,,(0.00: 8.44),(9:9),,0,,
68.9,215,Working,Work,True,65,0,77,,(0.00: 8.44),(9:9),,0,,
73.9,235,Working,Work,True,45,0,75,,(0.00: 8.44),(9:9),,0,,
78.9,255,Working,Work,True,25,0,72,,(0.00: 8.44),(9:9),,0,,
83.9,275,Working,Work,True,5,0,70,,(0.00: 8.44),(9:9),,0,,
