second,minute,phase,assigned,remaining,hours,energy,result,blocker
161.4,2000-01-17T14:04:00.0000000,Working,True,124,0,89,None,
163.4,2000-01-17T14:12:00.0000000,Working,True,116,0,88,None,
165.4,2000-01-17T14:20:00.0000000,Working,True,108,0,87,None,
167.4,2000-01-17T14:28:00.0000000,Working,True,100,0,86,None,
169.4,2000-01-17T14:36:00.0000000,Working,True,92,0,85,None,
171.5,2000-01-17T14:44:00.0000000,Working,True,84,0,84,None,
173.5,2000-01-17T14:52:00.0000000,Working,True,76,0,83,None,
175.5,2000-01-17T15:00:00.0000000,Working,True,68,0,82,None,
177.5,2000-01-17T15:08:00.0000000,Working,True,60,0,81,None,
179.5,2000-01-17T15:16:00.0000000,Working,True,52,0,80,None,
181.5,2000-01-17T15:24:00.0000000,Working,True,44,0,79,None,
183.5,2000-01-17T15:32:00.0000000,Working,True,36,0,78,None,
185.5,2000-01-17T15:40:00.0000000,Working,True,28,0,77,None,
187.5,2000-01-17T15:48:00.0000000,Working,True,20,0,76,None,
189.5,2000-01-17T15:56:00.0000000,Working,True,12,0,75,None,
191.5,2000-01-17T16:04:00.0000000,Working,True,4,0,74,None,
