seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere,ready,shopOpen,egressBlocker,egressBlockedAttempts
1.944231,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.947800,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.947920,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
1.948008,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.069966,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.070091,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.070173,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.070244,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.190184,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.190303,2000-01-03T08:50:00,mother,False,Idle,"(9,6)",2.666667,7.111111,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.190387,2000-01-03T08:50:00,older_sister,False,Idle,"(10,4)",5.333333,6.666667,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.190458,2000-01-03T08:50:00,player,True,Idle,"(2,2)",0.000000,2.222222,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
2.295744,2000-01-03T08:50:00,father,False,Idle,"(1,9)",-7.111111,4.888889,"",0.000000,"","","",None,"","",-1,0,,None,None,True,False,False,"",0
