seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
69.450750,seat_player,NorthWest,0.000061,0.000061,0.000000,0.000000,none,none,,,,,,,,,3663,True
69.488760,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3666,True
69.522220,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3668,True
69.639240,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3669,True
69.678090,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3672,True
69.728090,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3675,True
69.761520,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3677,True
69.812140,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3680,True
69.861590,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3683,True
74.523160,seat_player,NorthWest,0.000061,0.000061,0.000000,0.000000,none,none,,,,,,,,,3812,True
74.523680,seat_older_sister,NorthEast,0.000275,0.000275,0.000000,0.000000,older_sister,Navigating,9.599468,1.857259,0.000000,0.000000,9.711165,9.488474,154.640500,155.404000,3812,True
74.561730,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3815,True
74.561810,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3815,True
74.709210,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3818,True
74.709270,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3818,True
74.746540,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3821,True
74.746610,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3821,True
74.796580,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3824,True
74.796650,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3824,True
74.846600,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3827,True
74.846680,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3827,True
74.880570,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3829,True
74.880640,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3829,True
74.930080,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,3832,True
74.930160,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3832,True
80.278560,seat_player,NorthWest,0.000061,0.000061,0.000000,0.000000,none,none,,,,,,,,,4004,True
80.278630,seat_older_sister,NorthEast,0.000275,0.000275,0.000000,0.000000,older_sister,Navigating,9.599468,1.857259,0.000000,0.000000,9.711165,9.488474,154.640500,155.404000,4004,True
80.278660,seat_father,SouthEast,0.000244,0.000244,0.000000,0.000000,none,none,,,,,,,,,4004,True
80.316350,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4007,True
80.316430,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4007,True
80.316450,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4007,True
80.349700,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4009,True
80.349780,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4009,True
80.349810,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4009,True
80.466100,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4010,True
80.466160,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4010,True
80.466190,seat_father,SouthEast,0.363037,0.363037,0.000000,0.000000,none,none,,,,,,,,,4010,True
80.504040,seat_player,NorthWest,0.363251,0.363251,0.000000,0.000000,none,none,,,,,,,,,4013,True
80.504110,seat_older_sister,NorthEast,0.363068,0.363068,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,4013,True
