realSeconds,minute,phase,activity,assigned,remaining,personHours,energy,taskResult,position,cell,destination,pathLength,reservationBlocker,movementBlocker
19.5,15,Navigating,Walking,True,248,0,100,,(-2.25: 2.46),(1:4),(9:10),18,,
24.5,35,Working,Work,True,245,0,99,,(0.00: 8.44),(9:9),,0,,
29.5,55,Working,Work,True,225,0,96,,(0.00: 8.44),(9:9),,0,,
34.5,75,Working,Work,True,205,0,94,,(0.00: 8.44),(9:9),,0,,
39.5,95,Working,Work,True,185,0,92,,(0.00: 8.44),(9:9),,0,,
44.5,115,Working,Work,True,165,0,89,,(0.00: 8.44),(9:9),,0,,
49.5,135,Working,Work,True,145,0,87,,(0.00: 8.44),(9:9),,0,,
54.5,155,Working,Work,True,125,0,84,,(0.00: 8.44),(9:9),,0,,
59.5,175,Working,Work,True,105,0,82,,(0.00: 8.44),(9:9),,0,,
64.5,195,Working,Work,True,85,0,80,,(0.00: 8.44),(9:9),,0,,
69.5,215,Working,Work,True,65,0,77,,(0.00: 8.44),(9:9),,0,,
74.5,235,Working,Work,True,45,0,75,,(0.00: 8.44),(9:9),,0,,
79.5,255,Working,Work,True,25,0,72,,(0.00: 8.44),(9:9),,0,,
84.5,275,Working,Work,True,5,0,70,,(0.00: 8.44),(9:9),,0,,
