seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight,seatedBlend,workClock,leftHandError,rightHandError,leftKneeDegrees,rightKneeDegrees,frame,ready
69.896260,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,,,,,,,,3636,True
69.935650,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3639,True
69.968990,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3641,True
70.064890,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3642,True
70.105220,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3645,True
70.155040,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3648,True
70.188580,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3650,True
70.238330,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3653,True
70.271820,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3655,True
70.305230,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3657,True
75.079260,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,,,,,,,,3785,True
75.079830,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,9.599468,1.857259,0.000000,0.000000,9.711165,9.488474,154.640500,155.404000,3785,True
75.118960,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3788,True
75.119030,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3788,True
75.251330,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3791,True
75.251410,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3791,True
75.290680,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3794,True
75.290770,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3794,True
75.324100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3796,True
75.324180,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3796,True
75.373910,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3799,True
75.373990,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3799,True
75.423830,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3802,True
75.423900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3802,True
75.457290,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3804,True
75.457370,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3804,True
75.490650,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3806,True
75.490730,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3806,True
80.961130,seat_player,NorthWest,0.000092,0.000092,0.000000,0.000000,none,none,,,,,,,,,3977,True
80.961190,seat_older_sister,NorthEast,0.000305,0.000305,0.000000,0.000000,older_sister,Navigating,9.599468,1.857259,0.000000,0.000000,9.711165,9.488474,154.640500,155.404000,3977,True
80.961220,seat_father,SouthEast,0.000305,0.000305,0.000000,0.000000,none,none,,,,,,,,,3977,True
81.001110,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3980,True
81.001250,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3980,True
81.001300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3980,True
81.138880,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3983,True
81.138950,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3983,True
81.138980,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3983,True
81.178640,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3986,True
81.178710,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3986,True
81.178740,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3986,True
81.228720,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3989,True
81.228810,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,9.598599,1.857259,0.000000,0.000000,9.710244,9.487659,154.640200,155.403800,3989,True
81.228840,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,,,,,,,,3989,True
81.278650,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,,,,,,,,3992,True
