frame,seconds,clock,ready,cash,inventory,seats,pointerCommits,member,phase,away,x,y,destination,pathIndex,pathLength,seat,seatDirection,arrivalCount,workFrames,gaitDistance,displacement,staticViolations,interactionViolations,agentPenetrations,bodies,legacyCharacters,legacyFurniture,bgm,sfx,listenerVolume,outputPeak,errors
6,2.096170,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.097525,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.097620,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
6,2.098114,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
12,2.193852,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
12,2.193945,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
12,2.194037,2000-01-03T08:50:00,False,5000000,0,0,-1,older_sister,Idle,False,5.333333,6.666667,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
12,2.194117,2000-01-03T08:50:00,False,5000000,0,0,-1,player,Idle,False,0.000000,2.222222,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
18,2.301628,2000-01-03T08:50:00,False,5000000,0,0,-1,father,Idle,False,-7.111111,4.888889,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
18,2.301721,2000-01-03T08:50:00,False,5000000,0,0,-1,mother,Idle,False,2.666667,7.111111,,-1,0,,0,0,0,0.000000,0.000000,0,0,0,0,0,0,0.550000,0.800000,0.000000,0.000000,0
